,Date,Team,Opp1,Lg,Att,Cmp,Pct,Pass_Yds,YPA,Pass_TD,TD%T%,Int,Int%I%,Lg,FD,20+,Sack,Loss,Rate,Res,Date,Team,Opp2,Lg,Att,Rush_Yds,Avg,Lg,Rush_TD,FD,10+,Res,Date,Team,Opp3,Lg,Rec,Rec_Yds,Avg,Lg,Rec_TD,FD,20+,Tar,YAC,Res
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/22,BUF,@ CHI,NFL,11,99,9.00,27t,1,4,3,"W, 35-13",12/24/22,BUF,@ CHI,NFL,1,9,9.00,9,0,0,0,2,6,"W, 35-13"
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,BUF,vs NE,NFL,9,45,5.00,10,0,3,1,"W, 35-23",01/08/23,BUF,vs NE,NFL,2,6,3.00,4,0,0,0,2,9,"W, 35-23"
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/15/23,BUF,vs MIA,NFL,12,39,3.25,13,1,2,2,"W, 34-31",01/15/23,BUF,vs MIA,NFL,0,0,0.00,0,0,0,0,0,0,"W, 34-31"
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/22/23,BUF,vs CIN,NFL,5,13,2.60,8,0,0,0,"L, 27-10",01/22/23,BUF,vs CIN,NFL,0,0,0.00,0,0,0,0,0,0,"L, 27-10"
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/22,BUF,vs IND,NFL,3,37,12.33,27,0,1,1,"W, 27-24",08/13/22,BUF,vs IND,NFL,2,5,2.50,3,0,0,0,3,6,"W, 27-24"
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/20/22,BUF,vs DEN,NFL,4,19,4.75,11,2,3,1,"W, 42-15",08/20/22,BUF,vs DEN,NFL,0,0,0.00,0,0,0,0,0,0,"W, 42-15"
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/22,BUF,@ LA,NFL,6,15,2.50,8,0,1,0,"W, 31-10",09/08/22,BUF,@ LA,NFL,6,21,3.50,8,0,0,0,6,22,"W, 31-10"
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/19/22,BUF,vs TEN,NFL,3,17,5.67,17,0,1,1,"W, 41-7",09/19/22,BUF,vs TEN,NFL,0,0,0.00,0,0,0,0,1,0,"W, 41-7"
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,BUF,@ MIA,NFL,4,46,11.50,43,0,1,1,"L, 21-19",09/25/22,BUF,@ MIA,NFL,1,6,6.00,6,0,1,0,1,7,"L, 21-19"
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,BUF,@ BAL,NFL,3,6,2.00,5,0,0,0,"W, 23-20",10/02/22,BUF,@ BAL,NFL,0,0,0.00,0,0,0,0,0,0,"W, 23-20"
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,BUF,vs PIT,NFL,1,7,7.00,7,0,0,0,"W, 38-3",10/09/22,BUF,vs PIT,NFL,0,0,0.00,0,0,0,0,0,0,"W, 38-3"
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/22,IND,@ LV,NFL,1,4,4.00,4,0,0,0,"W, 25-20",11/13/22,IND,@ LV,NFL,0,0,0.00,0,0,0,0,0,0,"W, 25-20"
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,IND,vs PHI,NFL,2,7,3.50,7,0,0,0,"L, 17-16",11/20/22,IND,vs PHI,NFL,0,0,0.00,0,0,0,0,0,0,"L, 17-16"
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/28/22,IND,vs PIT,NFL,1,2,2.00,2,0,0,0,"L, 24-17",11/28/22,IND,vs PIT,NFL,0,0,0.00,0,0,0,0,0,0,"L, 24-17"
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,IND,@ DAL,NFL,3,18,6.00,9,0,1,0,"L, 54-19",12/04/22,IND,@ DAL,NFL,0,0,0.00,0,0,0,0,0,0,"L, 54-19"
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/17/22,IND,@ MIN,NFL,24,81,3.38,11,0,3,2,"L, 39-36",12/17/22,IND,@ MIN,NFL,0,0,0.00,0,0,0,0,1,0,"L, 39-36"
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/26/22,IND,vs LAC,NFL,12,65,5.42,14,0,2,1,"L, 20-3",12/26/22,IND,vs LAC,NFL,1,5,5.00,5,0,0,0,1,6,"L, 20-3"
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,IND,@ NYG,NFL,15,74,4.93,12,0,4,2,"L, 38-10",01/01/23,IND,@ NYG,NFL,0,0,0.00,0,0,0,0,0,0,"L, 38-10"
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,IND,vs HOU,NFL,18,114,6.33,34,1,5,4,"L, 32-31",01/08/23,IND,vs HOU,NFL,3,7,2.33,4,0,1,0,3,7,"L, 32-31"
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/20/22,BUF,vs DEN,NFL,1,10,10.00,10,0,1,0,1,1,"W, 42-15"
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/22,BUF,@ LA,NFL,2,19,9.50,12,1,2,0,3,1,"W, 31-10"
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/19/22,BUF,vs TEN,NFL,2,37,18.50,28,0,1,1,3,5,"W, 41-7"
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,BUF,@ MIA,NFL,7,76,10.86,27,1,4,1,9,32,"L, 21-19"
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,BUF,@ BAL,NFL,4,21,5.25,8,1,2,0,6,6,"W, 23-20"
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,BUF,@ KC,NFL,2,9,4.50,5,0,0,0,5,2,"W, 24-20"
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,BUF,vs GB,NFL,1,8,8.00,8,0,1,0,1,3,"W, 27-17"
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,BUF,@ NYJ,NFL,2,12,6.00,9,0,1,0,3,10,"L, 20-17"
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/22,BUF,vs MIN,NFL,4,37,9.25,15,0,3,0,4,17,"L, 33-30"
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,BUF,vs CLE,NFL,0,0,0.00,0,0,0,0,1,0,"W, 31-23"
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/24/22,BUF,@ DET,NFL,6,96,16.00,30,1,4,2,10,15,"W, 28-25"
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/01/22,BUF,@ NE,NFL,5,44,8.80,17,0,4,0,5,23,"W, 24-10"
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,BUF,vs NYJ,NFL,3,21,7.00,8,0,2,0,5,7,"W, 20-12"
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/17/22,BUF,vs MIA,NFL,2,24,12.00,19,0,2,0,5,0,"W, 32-29"
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/24/22,BUF,@ CHI,NFL,0,0,0.00,0,0,0,0,2,0,"W, 35-13"
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,BUF,vs NE,NFL,2,19,9.50,13,0,1,0,3,7,"W, 35-23"
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/22/23,BUF,vs CIN,NFL,2,10,5.00,8,0,0,0,2,16,"L, 27-10"
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/22,BUF,vs IND,NFL,6,9,1.50,3,0,0,0,"W, 27-24",08/13/22,BUF,vs IND,NFL,1,1,1.00,1,0,0,0,2,8,"W, 27-24"
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/20/22,BUF,vs DEN,NFL,9,55,6.11,9,2,5,0,"W, 42-15",08/20/22,BUF,vs DEN,NFL,0,0,0.00,0,0,0,0,0,0,"W, 42-15"
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/26/22,BUF,@ CAR,NFL,6,20,3.33,10,0,2,1,"L, 21-0",08/26/22,BUF,@ CAR,NFL,1,2,2.00,2,0,0,0,2,-1,"L, 21-0"
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/22,BUF,vs MIN,NFL,2,4,2.00,4,0,1,0,"L, 33-30",11/13/22,BUF,vs MIN,NFL,0,0,0.00,0,0,0,0,0,0,"L, 33-30"
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/20/22,BUF,vs DEN,NFL,2,33,16.50,26,0,2,1,2,9,"W, 42-15"
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/22,BUF,@ LA,NFL,8,122,15.25,53t,1,5,2,9,27,"W, 31-10"
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/19/22,BUF,vs TEN,NFL,12,148,12.33,46t,3,6,1,15,30,"W, 41-7"
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,BUF,@ MIA,NFL,7,74,10.57,28,0,4,1,11,36,"L, 21-19"
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,BUF,@ BAL,NFL,4,62,15.50,23,0,3,1,6,11,"W, 23-20"
